StudyHours,Attendance,PastScore,Internet,SleepHours,Passed
3,70,50,Yes,5,No
3,60,45,No,4,No
5,76,65,Yes,6,Yes
1,50,30,No,4,No
7,85,70,No,7,Yes
2,53,32,No,3,No
8,90,75,Yes,8,Yes
2,60,40,Yes,5,No
5,76,65,Yes,6,Yes
2,60,40,Yes,5,No
10,99,90,Yes,10,Yes
5,76,65,Yes,6,Yes
3,60,45,No,4,No
3,60,45,No,4,No
5,76,65,Yes,6,Yes
7,85,70,No,7,Yes
4,66,58,No,5,No
9,97,85,Yes,9,Yes
1,40,25,No,3,No
6,88,72,Yes,7,Yes
7,84,69,Yes,7,Yes
9,95,80,Yes,9,Yes
6,78,68,Yes,6,Yes
8,90,75,Yes,8,Yes
2,55,35,No,4,No
7,84,69,Yes,7,Yes
2,60,40,Yes,5,No
4,66,58,No,5,No
2,55,35,No,4,No
1,40,25,No,3,No
6,88,72,Yes,7,Yes
4,65,55,No,5,No
1,50,30,No,4,No
9,95,80,Yes,9,Yes
3,60,45,No,4,No
1,50,30,No,4,No
6,78,68,Yes,6,Yes
1,50,30,No,4,No
7,84,69,Yes,7,Yes
4,66,58,No,5,No
2,55,35,No,4,No
8,92,78,Yes,8,Yes
4,65,55,No,5,No
7,84,69,Yes,7,Yes
4,65,55,No,5,No
2,53,32,No,3,No
5,80,60,No,6,Yes
1,50,30,No,4,No
8,90,75,Yes,8,Yes
3,60,45,No,4,No
7,85,70,No,7,Yes
3,70,50,Yes,5,No
9,97,85,Yes,9,Yes
10,99,90,Yes,10,Yes
9,95,80,Yes,9,Yes
10,99,90,Yes,10,Yes
6,78,68,Yes,6,Yes
7,85,70,No,7,Yes
4,66,58,No,5,No
2,55,35,No,4,No
4,66,58,No,5,No
2,53,32,No,3,No
8,92,78,Yes,8,Yes
3,70,50,Yes,5,No
5,76,65,Yes,6,Yes
4,65,55,No,5,No
6,78,68,Yes,6,Yes
9,95,80,Yes,9,Yes
5,80,60,No,6,Yes
9,97,85,Yes,9,Yes
2,53,32,No,3,No
5,80,60,No,6,Yes
10,99,90,Yes,10,Yes
9,95,80,Yes,9,Yes
10,99,90,Yes,10,Yes
9,97,85,Yes,9,Yes
7,84,69,Yes,7,Yes
1,40,25,No,3,No
8,92,78,Yes,8,Yes
2,53,32,No,3,No
3,70,50,Yes,5,No
7,85,70,No,7,Yes
9,97,85,Yes,9,Yes
2,55,35,No,4,No
5,80,60,No,6,Yes
1,40,25,No,3,No
5,80,60,No,6,Yes
8,90,75,Yes,8,Yes
3,70,50,Yes,5,No
4,65,55,No,5,No
6,88,72,Yes,7,Yes
8,92,78,Yes,8,Yes
6,78,68,Yes,6,Yes
8,90,75,Yes,8,Yes
2,60,40,Yes,5,No
2,60,40,Yes,5,No
6,88,72,Yes,7,Yes
8,92,78,Yes,8,Yes
1,40,25,No,3,No
6,88,72,Yes,7,Yes
